"SectionAbb","year","median","Section.name"
"Accommodation",2018,1.5,"Accommodation and food service activities"
"Accommodation",2019,1.3,"Accommodation and food service activities"
"Accommodation",2020,1.1,"Accommodation and food service activities"
"Accommodation",2021,1.5,"Accommodation and food service activities"
"Accommodation",2022,1.65,"Accommodation and food service activities"
"Administrative",2018,4.075,"Administrative and support service activities"
"Administrative",2019,4.9,"Administrative and support service activities"
"Administrative",2020,4.5,"Administrative and support service activities"
"Administrative",2021,6.3,"Administrative and support service activities"
"Administrative",2022,4.4,"Administrative and support service activities"
"Agriculture",2018,13.1,"Agriculture, forestry and fishing"
"Agriculture",2019,11.2,"Agriculture, forestry and fishing"
"Agriculture",2020,5.425,"Agriculture, forestry and fishing"
"Agriculture",2021,9.8,"Agriculture, forestry and fishing"
"Agriculture",2022,7.6,"Agriculture, forestry and fishing"
"Arts",2018,3.675,"Arts, entertainment and recreation"
"Arts",2019,3.15,"Arts, entertainment and recreation"
"Arts",2020,3.7,"Arts, entertainment and recreation"
"Arts",2021,4.15,"Arts, entertainment and recreation"
"Arts",2022,5.9,"Arts, entertainment and recreation"
"Construction",2018,26.1,"Construction"
"Construction",2019,24.8,"Construction"
"Construction",2020,21.6,"Construction"
"Construction",2021,26,"Construction"
"Construction",2022,25,"Construction"
"Education",2018,21.1,"Education"
"Education",2019,21.9,"Education"
"Education",2020,23.6,"Education"
"Education",2021,23.3,"Education"
"Education",2022,24.45,"Education"
"Energy",2018,13,"Electricity, gas, steam and air conditioning supply"
"Energy",2019,13.2,"Electricity, gas, steam and air conditioning supply"
"Energy",2020,15.1,"Electricity, gas, steam and air conditioning supply"
"Energy",2021,15.3,"Electricity, gas, steam and air conditioning supply"
"Energy",2022,15.1,"Electricity, gas, steam and air conditioning supply"
"Extraterritorial",2018,7.5,"Activities of extraterritorial organisations and bodies"
"Extraterritorial",2019,10,"Activities of extraterritorial organisations and bodies"
"Extraterritorial",2020,35.3,"Activities of extraterritorial organisations and bodies"
"Extraterritorial",2021,8.9,"Activities of extraterritorial organisations and bodies"
"Extraterritorial",2022,3.25,"Activities of extraterritorial organisations and bodies"
"Financial",2018,23.6,"Financial and insurance activities"
"Financial",2019,22.85,"Financial and insurance activities"
"Financial",2020,25,"Financial and insurance activities"
"Financial",2021,24,"Financial and insurance activities"
"Financial",2022,23.3,"Financial and insurance activities"
"Health",2018,0,"Human health and social work activities"
"Health",2019,0.1,"Human health and social work activities"
"Health",2020,0,"Human health and social work activities"
"Health",2021,0.3,"Human health and social work activities"
"Health",2022,0.2,"Human health and social work activities"
"Home",2018,0.4,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
"Home",2019,2.9,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
"Home",2020,4.25,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
"Home",2021,0.925,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
"Home",2022,2.475,"Activities of households as employers; undifferentiated goods-and services-producing activities of households for own use"
"ICT",2018,17.1,"Information and communication"
"ICT",2019,16.35,"Information and communication"
"ICT",2020,17.175,"Information and communication"
"ICT",2021,17.2,"Information and communication"
"ICT",2022,16.2,"Information and communication"
"Manufacturing",2018,10.8,"Manufacturing"
"Manufacturing",2019,10.2,"Manufacturing"
"Manufacturing",2020,9.7,"Manufacturing"
"Manufacturing",2021,9.95,"Manufacturing"
"Manufacturing",2022,9.25,"Manufacturing"
"Mining",2018,20.55,"Mining and quarrying"
"Mining",2019,21.05,"Mining and quarrying"
"Mining",2020,22.1,"Mining and quarrying"
"Mining",2021,23.8,"Mining and quarrying"
"Mining",2022,24.4,"Mining and quarrying"
"Public",2018,7.8,"Public administration and defence; compulsory social security"
"Public",2019,6.7,"Public administration and defence; compulsory social security"
"Public",2020,6.2,"Public administration and defence; compulsory social security"
"Public",2021,6.7,"Public administration and defence; compulsory social security"
"Public",2022,5.5,"Public administration and defence; compulsory social security"
"Real Estate",2018,11,"Real estate activities"
"Real Estate",2019,10.8,"Real estate activities"
"Real Estate",2020,11.2,"Real estate activities"
"Real Estate",2021,11,"Real estate activities"
"Real Estate",2022,14,"Real estate activities"
"Science",2018,14.3,"Professional, scientific and technical activities"
"Science",2019,17.2,"Professional, scientific and technical activities"
"Science",2020,16.4,"Professional, scientific and technical activities"
"Science",2021,15.3,"Professional, scientific and technical activities"
"Science",2022,15.8,"Professional, scientific and technical activities"
"Service",2018,9.3,"Other service activities"
"Service",2019,11.9,"Other service activities"
"Service",2020,9.2,"Other service activities"
"Service",2021,9.1,"Other service activities"
"Service",2022,7.85,"Other service activities"
"Transportation",2018,8.1,"Transportation and storage"
"Transportation",2019,5.4,"Transportation and storage"
"Transportation",2020,5.3,"Transportation and storage"
"Transportation",2021,5.7,"Transportation and storage"
"Transportation",2022,5.4,"Transportation and storage"
"Water",2018,11.05,"Water supply; sewerage, waste management and remediation activities"
"Water",2019,8.5,"Water supply; sewerage, waste management and remediation activities"
"Water",2020,8.525,"Water supply; sewerage, waste management and remediation activities"
"Water",2021,9.15,"Water supply; sewerage, waste management and remediation activities"
"Water",2022,4.75,"Water supply; sewerage, waste management and remediation activities"
"Wholesale, retail",2018,6.6,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
"Wholesale, retail",2019,6.1,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
"Wholesale, retail",2020,6.6,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
"Wholesale, retail",2021,6,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
"Wholesale, retail",2022,5.4,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
